"","WT 1","WT 2","WT 3","KO 1","KO 2","KO 3"
"ENSMUSG00000001444",8,12,10,9,11,7
"ENSMUSG00000001445",1403,1744,2251,1213,1805,1536
"ENSMUSG00000001467",2164,2923,4718,2198,3500,3405
"ENSMUSG00000001472",24856,30609,40804,22390,31893,28825
"ENSMUSG00000001473",213,230,377,191,286,255
"ENSMUSG00000001482",2148,2406,3412,1854,2549,2454
"ENSMUSG00000001493",55,72,109,83,111,35
"ENSMUSG00000001494",1,2,7,1,5,0
"ENSMUSG00000001496",5,1,29,4,9,43
"ENSMUSG00000001497",1,1,4,2,2,1
"ENSMUSG00000001504",3,3,5,1,0,7
"ENSMUSG00000001506",565,685,1029,191,267,644
"ENSMUSG00000001507",1139,1330,1795,913,1336,1182
"ENSMUSG00000001508",14,13,18,7,14,12
"ENSMUSG00000001510",1,1,5,1,3,0
"ENSMUSG00000001517",83,144,139,99,152,110
"ENSMUSG00000001518",601,751,934,576,746,685
"ENSMUSG00000001520",512,615,740,394,532,548
"ENSMUSG00000001521",942,1090,1476,652,1042,1127
"ENSMUSG00000001524",423,450,545,333,445,442
"ENSMUSG00000001525",20976,23913,33514,16068,21878,24501
"ENSMUSG00000001542",1658,2087,2947,1539,1970,2006
"ENSMUSG00000001552",1968,2372,3513,1693,3040,2280
"ENSMUSG00000001555",178,223,279,167,230,238
"ENSMUSG00000001558",29,31,39,12,17,21
"ENSMUSG00000001566",0,0,0,0,0,0
"ENSMUSG00000001569",1197,1442,1886,933,1337,1377
"ENSMUSG00000001576",5646,7154,9268,4807,6299,7041
"ENSMUSG00000001583",3,8,4,0,6,2
"ENSMUSG00000001588",5,8,10,6,12,5
"ENSMUSG00000001604",6,4,6,4,5,13
"ENSMUSG00000001622",0,0,0,0,0,0
"ENSMUSG00000001627",1152,1575,2091,1153,1435,1549
"ENSMUSG00000001630",935,1272,1737,935,1174,1246
"ENSMUSG00000001632",1831,2292,2969,1489,2007,2163
"ENSMUSG00000001642",54,48,51,23,27,49
"ENSMUSG00000001655",1,0,0,0,2,0
"ENSMUSG00000001656",0,0,0,0,0,0
"ENSMUSG00000001657",0,0,0,1,1,1
"ENSMUSG00000001661",1,0,2,0,0,0
"ENSMUSG00000001663",400,545,582,338,493,375
"ENSMUSG00000001665",79,120,153,59,124,61
"ENSMUSG00000001666",491,659,938,460,714,632
"ENSMUSG00000001670",1,0,3,0,0,1
"ENSMUSG00000001672",41,39,40,9,25,38
"ENSMUSG00000001674",16,23,31,18,16,12
"ENSMUSG00000001687",7032,8555,12912,6002,9763,10602
"ENSMUSG00000001700",680,888,1426,693,1069,899
"ENSMUSG00000001707",738,892,1246,617,849,928
"ENSMUSG00000001729",5206,6370,8610,4210,7015,6261
"ENSMUSG00000001739",5,15,23,15,9,15
